rank,model,cv_mean_rmspe,cv_std_rmspe,holdout_rmspe,holdout_mae,holdout_rmse,holdout_bias,total_runtime_seconds,params_json
1,catboost,0.16877917419998612,0.04350903224193556,0.15284470837532138,709.1782374373621,1176.6981695298007,-338.83929749357753,490.2575046001002,"{""iterations"": 600, ""learning_rate"": 0.05, ""depth"": 6, ""loss_function"": ""RMSE"", ""eval_metric"": ""RMSE"", ""subsample"": 0.8, ""l2_leaf_reg"": 5.0, ""bootstrap_type"": ""Bernoulli"", ""random_seed"": 42, ""allow_writing_files"": false, ""thread_count"": -1, ""verbose"": false}"
2,xgboost,0.1820191439537987,0.02913919103539261,0.17365859273808046,833.9874608999639,1369.333556421476,-403.9032288496957,18.396173700108193,"{""n_estimators"": 900, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 30, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""objective"": ""reg:squarederror"", ""tree_method"": ""hist"", ""early_stopping_rounds"": 100, ""random_state"": 42, ""n_jobs"": -1}"
3,lightgbm,0.15786655929878865,0.039333064603248306,0.1776700549109906,845.8875592162931,1406.4750833015282,-398.0006142065802,59.148677300079726,"{""n_estimators"": 900, ""learning_rate"": 0.05, ""num_leaves"": 63, ""min_child_samples"": 40, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.05, ""reg_lambda"": 0.1, ""objective"": ""regression"", ""random_state"": 42, ""n_jobs"": -1, ""verbosity"": -1, ""force_col_wise"": true}"
